"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"8";"";"1,6/0,8";"1,6/0,8";"33Ω_1, 33Ω_2, 33Ω_3, 33Ω_4, 680Ω_1, 680Ω_2, 680Ω_3, 680Ω_4";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";
"2";"";"22-23-2061";"22-23-2061";"X3, X4";".100" (2.54mm) Center Header - 6 Pin";"";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2061";"1462922";"27C1933";"6";"";"";"";
"9";"";"PINHD-1X1";"1X01";"+5V, AMS_STATE, GND, IMD_STATE, RESET_AMS_IMD, SC_OPEN__N_HIGH, START_BUTTON__N_HIGH, START_RELAYS__N_HIGH, VISIBLE_CHECK_TEMPO";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";
"5";"100kΩ";"R-US_R0603";"R0603";"R5, R10, R25, R26, R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"6";"100nF";"C-EUC0603";"C0603";"C4, C5, C6, C8, C9, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"2";"100Ω";"R-US_R0603";"R0603";"R4, R101";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"13";"10kΩ";"R-US_R0603";"R0603";"R2, R6, R7, R8, R9, R16, R18, R19, R20, R21, R24, R32, R102";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"3";"10μF";"C-EUC0603";"C0603";"C1, C7, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"2";"10μF";"ECA1VM100";"CAPPRD200W55D525H1200";"C2, C3";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";"";"";
"1";"12Vdc, DPNO, 5A";"G6B-2214P-US_12DC";"G6B2214PUS12DC";"K4";"RELAY, DPST-NO, 250VAC, 30VDC, 5A";"";"";"";"RELAY, DPST-NO, 250VAC, 30VDC, 5A";"11mm";"Omron Electronics";"G6B-2214P-US 12DC";"";"";"";"";"";"";"";"";"";"";
"1";"12Vdc-5Vdc";"L4941BDT-TR";"TO228P972X240-3N";"CONVERTER";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"";"L4941BDT-TR";"https://www.arrow.com/en/products/l4941bdt-tr/stmicroelectronics?region=nac";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"L4941BDT-TR";"";"511-L4941BDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L4941BDT-TR?qs=tPFdqECvbMIySYN92F2N4Q%3D%3D";"";"";"";"";"";"";"";
"1";"1kΩ";"R-US_R0603";"R0603";"R27";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"2";"22-23-2041";"22-23-2041";"22-23-2041";"X1, X2";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2041";"1462920";"38C0355";"21";"";"";"";
"1";"2kΩ";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"10";"4,3kΩ";"R-US_R0603";"R0603";"R3, R12, R13, R14, R15, R17, R23, R29, R30, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";
"4";"BAV16W-7-F";"BAV16W-7-F";"SOD3716X145N";"D1, D2, D3, D7";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"70437641";"";"";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"1.45mm";"Diodes Inc.";"BAV16W-7-F";"";"";"";"";"";"";"";"7513430P";"http://uk.rs-online.com/web/p/products/7513430P";"";
"2";"BAV16W-7-F";"BAV16W-7-F";"SOD3716X145N";"D9, D10";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"";"BAV16W-7-F";"https://www.arrow.com/en/products/bav16w-7-f/diodes-incorporated";"Diode Switching 100V 0.15A 2Pin SOD123 Diodes Inc BAV16W-7-F Switching Diode, 300mA 100V, 2-Pin SOD-123";"1.45mm";"Diodes Inc.";"BAV16W-7-F";"";"621-BAV16W-F";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAV16W-7-F?qs=Ge55vsXlF7cElS2bbKfO8A%3D%3D";"";"";"";"";"";"";"";
"2";"CP1-12V";"CP1-12V";"CP1";"K3, K8";"ULTRA-MINIATURE LOW PROFILE AUTOMOTIVE RELAY NAiS";"";"";"";"";"";"";"";"AROMAT/ MATSUSHITA";"";"";"CP1-12V";"unknown";"10C5508";"0";"";"";"";
"1";"CP1-12V";"CP1-12V";"CP1FORMC_1";"K6";"PANASONIC ELECTRIC WORKS - CP1-12V - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A";"";"CP1-12V";"https://www.arrow.com/en/products/cp1-12v/panasonic?region=nac";"PANASONIC ELECTRIC WORKS - CP1-12V - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A";"mm";"Panasonic";"CP1-12V";"";"769-CP1-12V";"https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/CP1-12V?qs=mTeSeKeuVA7dPPafy7M16g%3D%3D";"";"";"";"";"";"";"";
"1";"D Flip-Flop";"SN74AC74DE4";"SOIC127P600X175-14N";"IC15";"Flip-Flops Dual Pos-Edge-Trig D-Type Flip-Flop";"";"";"";"Flip-Flops Dual Pos-Edge-Trig D-Type Flip-Flop";"1.75mm";"Texas Instruments";"SN74AC74DE4";"";"595-SN74AC74DE4";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AC74DE4?qs=pdM4geFiyZSonhSZLAytyw%3D%3D";"";"";"";"";"";"";"";
"2";"DPNO_IMD";"AHES3292";"AHES3292";"K1, K2";"General Purpose Relays ThruHole,24VDC Coil 30x36x40, 35A";"";"AHES3292";"https://www.arrow.com/en/products/ahes3292/panasonic";"General Purpose Relays ThruHole,24VDC Coil 30x36x40, 35A";"40mm";"Panasonic";"AHES3292";"";"769-AHES3292";"https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/AHES3292/?qs=uLrlhPoGzACCyWNQTcfPfA%3D%3D";"";"";"";"";"";"";"";
"1";"LM293DT";"LM293DT";"SOIC127P600X175-8N";"IC3";"Low power dual voltage comparators";"";"LM293DT";"https://www.arrow.com/en/products/lm293dt/stmicroelectronics?region=europe";"Low power dual voltage comparators";"1.75mm";"STMicroelectronics";"LM293DT";"";"511-LM293DT";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/LM293DT?qs=8Bu%252BF5HPnlzADNRUf2Meow%3D%3D";"";"";"";"";"";"";"";
"4";"NMOS";"DMN2041L-7";"SOT96P240X110-3N";"Q1, Q2, Q3, Q5";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"";"DMN2041L-7";"https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac";"Diodes Inc DMN2041L-7 N-channel MOSFET Transistor, 6.4 A, 20 V, 3-Pin SOT-23";"1.1mm";"Diodes Inc.";"DMN2041L-7";"";"621-DMN2041L-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D";"";"";"";"";"";"";"";
"2";"OR gate";"SN74LVC1G32DBVR";"SOT95P280X145-5N";"IC5, IC10";"Texas Instruments SN74LVC1G32DBVR, 2-Input OR Logic Gate, 1.65  5.5 V, 5-Pin SOT-23";"";"SN74LVC1G32DBVR";"https://www.arrow.com/en/products/sn74lvc1g32dbvr/texas-instruments?region=nac";"Texas Instruments SN74LVC1G32DBVR, 2-Input OR Logic Gate, 1.65  5.5 V, 5-Pin SOT-23";"1.45mm";"Texas Instruments";"SN74LVC1G32DBVR";"";"595-SN74LVC1G32DBVR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1G32DBVR?qs=3pnr37ZAbK%2F6ArGi%2FPb2Ng%3D%3D";"";"";"";"";"";"";"";
"4";"Optocoupleur";"AQY221R2S";"SOP254P680X230-4N";"IC1, IC2, IC12, IC13";"SPST-NO Solid State Relay 250 mA PCB Mount PhotoMOS, 1.5 V";"";"AQY221R2S";"https://www.arrow.com/en/products/aqy221r2s/panasonic";"SPST-NO Solid State Relay 250 mA PCB Mount PhotoMOS, 1.5 V";"2.3mm";"Panasonic";"AQY221R2S";"";"769-AQY221R2S";"https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/AQY221R2S?qs=mTeSeKeuVA570TSPtWARNQ%3D%3D";"";"";"";"";"";"";"";
"1";"STTH108A";"STTH108A";"DIOM5126X265N";"D6";"STTH108A, Fast Rectifier Diode,  Switching 1A max, 800V 75ns, 2-Pin, SMA";"";"STTH108A";"https://www.arrow.com/en/products/stth108a/stmicroelectronics";"STTH108A, Fast Rectifier Diode,  Switching 1A max, 800V 75ns, 2-Pin, SMA";"2.65mm";"STMicroelectronics";"STTH108A";"";"511-STTH108A";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STTH108A?qs=JquAdH79uraWtge35p8qAg%3D%3D";"";"";"";"";"";"";"";
"1";"TVS";"CDSOD323-T15SC";"SOD-323";"D4";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"";"CDSOD323-T15SC";"https://www.arrow.com/en/products/cdsod323-t15sc/bourns?region=nac";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"mm";"Bourns";"CDSOD323-T15SC";"";"652-CDSOD323-T15SC";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T15SC?qs=6S5Watp5UnLvz%2FtnS7XuhA%3D%3D";"";"";"";"";"";"";"";
"1";"XOR gate";"SN74LVC1G86DCKR";"SOT65P210X110-5N";"IC4";"Texas Instruments SN74LVC1G86DCKR, XOR 2 Input XOR, 1.65  5.5 V, 5-Pin SC-70";"";"SN74LVC1G86DCKR";"https://www.arrow.com/en/products/sn74lvc1g86dckr/texas-instruments?region=nac";"Texas Instruments SN74LVC1G86DCKR, XOR 2 Input XOR, 1.65  5.5 V, 5-Pin SC-70";"1.1mm";"Texas Instruments";"SN74LVC1G86DCKR";"";"595-SN74LVC1G86DCKR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1G86DCKR?qs=d9gICRQKuCdmtPquTT%2F3UA%3D%3D";"";"";"";"";"";"";"";
"1";"monostable";"CD74HCT4538M96";"SOIC127P600X175-16N";"IC11";"Texas Instruments CD74HCT4538M96 Dual Monostable Multivibrator 4mA, 4.5  5.5 V, 16-Pin SOIC";"";"CD74HCT4538M96";"https://www.arrow.com/en/products/cd74hct4538m96/texas-instruments";"Texas Instruments CD74HCT4538M96 Dual Monostable Multivibrator 4mA, 4.5  5.5 V, 16-Pin SOIC";"1.75mm";"Texas Instruments";"CD74HCT4538M96";"";"595-CD74HCT4538M96";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-CD74HCT4538M96";"";"";"";"";"";"";"";
"5";"optocoupleur";"AQY221R2S";"SOP254P680X230-4N";"IC6, IC7, IC8, IC9, IC14";"SPST-NO Solid State Relay 250 mA PCB Mount PhotoMOS, 1.5 V";"";"AQY221R2S";"https://www.arrow.com/en/products/aqy221r2s/panasonic";"SPST-NO Solid State Relay 250 mA PCB Mount PhotoMOS, 1.5 V";"2.3mm";"Panasonic";"AQY221R2S";"";"769-AQY221R2S";"https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/AQY221R2S?qs=mTeSeKeuVA570TSPtWARNQ%3D%3D";"";"";"";"";"";"";"";
